"feature","feature_type","code","description"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT..MAZE.PROCEDURE.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT..MAZE.PROCEDURE.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT..MAZE.PROCEDURE.SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.SDA","icd9","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.SDA","CORONARY.ARTERY.DISEASE.CORONARY.ARTERY.BYPASS.GRAFT.SDA"
"icd9_CORONARY.ARTERY.DISEASE.LEFT.HEART.CATHETERIZATION","icd9","CORONARY.ARTERY.DISEASE.LEFT.HEART.CATHETERIZATION","CORONARY.ARTERY.DISEASE.LEFT.HEART.CATHETERIZATION"
"icd9_CRF.SDA","icd9","CRF.SDA","CRF.SDA"
"icd9_CROHN.S.DISEASE..ENTEROCUTANEOUS.FISTULA","icd9","CROHN.S.DISEASE..ENTEROCUTANEOUS.FISTULA","CROHN.S.DISEASE..ENTEROCUTANEOUS.FISTULA"
"icd9_CVA","icd9","CVA","CVA"
"icd9_DEEP.VEIN.THROMBOSIS..S.P.AVR..REDO.HEMI.STRENOTOMY.ARCH.TO.DESCENDING.STENT","icd9","DEEP.VEIN.THROMBOSIS..S.P.AVR..REDO.HEMI.STRENOTOMY.ARCH.TO.DESCENDING.STENT","DEEP.VEIN.THROMBOSIS..S.P.AVR..REDO.HEMI.STRENOTOMY.ARCH.TO.DESCENDING.STENT"
"icd9_DEHYDRATION","icd9","DEHYDRATION","DEHYDRATION"
"icd9_DIABETIC.KEOACIDOSIS.TELEMETRY","icd9","DIABETIC.KEOACIDOSIS.TELEMETRY","DIABETIC.KEOACIDOSIS.TELEMETRY"
"icd9_DIABETIC.KETOACIDOSIS","icd9","DIABETIC.KETOACIDOSIS","DIABETIC.KETOACIDOSIS"
"icd9_DIABETIC.KETOACIDOSIS.MYOCARDIAL.INFARCT","icd9","DIABETIC.KETOACIDOSIS.MYOCARDIAL.INFARCT","DIABETIC.KETOACIDOSIS.MYOCARDIAL.INFARCT"
"icd9_DIABETICE.KETOACIDOSIS.STATUS.POST.RENAL.TRANSPLANT","icd9","DIABETICE.KETOACIDOSIS.STATUS.POST.RENAL.TRANSPLANT","DIABETICE.KETOACIDOSIS.STATUS.POST.RENAL.TRANSPLANT"
"icd9_DIARRHEA..DEHYDRATION","icd9","DIARRHEA..DEHYDRATION","DIARRHEA..DEHYDRATION"
"icd9_DISSECTING.ABDOMINAL.AORTIC.ANEURYSM","icd9","DISSECTING.ABDOMINAL.AORTIC.ANEURYSM","DISSECTING.ABDOMINAL.AORTIC.ANEURYSM"
"icd9_DISSECTING.THORACIC.ANEURYSM","icd9","DISSECTING.THORACIC.ANEURYSM","DISSECTING.THORACIC.ANEURYSM"
"icd9_DKA","icd9","DKA","DKA"
"icd9_DRUG.OVERDOSE","icd9","DRUG.OVERDOSE","DRUG.OVERDOSE"
"icd9_DYSPNEA","icd9","DYSPNEA","DYSPNEA"
"icd9_DYSPNEA.HYPOXIA","icd9","DYSPNEA.HYPOXIA","DYSPNEA.HYPOXIA"
"icd9_DYSPNEA.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY","icd9","DYSPNEA.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY","DYSPNEA.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY"
"icd9_EKG.CHANGES","icd9","EKG.CHANGES","EKG.CHANGES"
"icd9_ENCEPHELOPATHY.AND.R.O.MI","icd9","ENCEPHELOPATHY.AND.R.O.MI","ENCEPHELOPATHY.AND.R.O.MI"
"icd9_END.STAGE.LIVER.DISEASE","icd9","END.STAGE.LIVER.DISEASE","END.STAGE.LIVER.DISEASE"
"icd9_END.STAGE.LIVER.DISEASE.LIVER.TRANSPLANT","icd9","END.STAGE.LIVER.DISEASE.LIVER.TRANSPLANT","END.STAGE.LIVER.DISEASE.LIVER.TRANSPLANT"
"icd9_END.STAGE.RENAL.DISEAS.PANCREATITIS.LUPUS","icd9","END.STAGE.RENAL.DISEAS.PANCREATITIS.LUPUS","END.STAGE.RENAL.DISEAS.PANCREATITIS.LUPUS"
"icd9_END.STAGE.RENAL.DISEASE","icd9","END.STAGE.RENAL.DISEASE","END.STAGE.RENAL.DISEASE"
"icd9_ENDOCARDITIS","icd9","ENDOCARDITIS","ENDOCARDITIS"
"icd9_ENDOCARDITIS.MITRAL.REGURGITATION","icd9","ENDOCARDITIS.MITRAL.REGURGITATION","ENDOCARDITIS.MITRAL.REGURGITATION"
"icd9_ETOH.CIRRHOSIS.SDA","icd9","ETOH.CIRRHOSIS.SDA","ETOH.CIRRHOSIS.SDA"
"icd9_ETOH.WITHDRAWAL","icd9","ETOH.WITHDRAWAL","ETOH.WITHDRAWAL"
"icd9_ETOH.WITHDRAWAL.TELEMETRY","icd9","ETOH.WITHDRAWAL.TELEMETRY","ETOH.WITHDRAWAL.TELEMETRY"
"icd9_ETOH.WITHDRAWAL.DETOX","icd9","ETOH.WITHDRAWAL.DETOX","ETOH.WITHDRAWAL.DETOX"
"icd9_FACIAL.INFECTION","icd9","FACIAL.INFECTION","FACIAL.INFECTION"
"icd9_FAILED.BYPASS.GRAFT.LEFT.LEG","icd9","FAILED.BYPASS.GRAFT.LEFT.LEG","FAILED.BYPASS.GRAFT.LEFT.LEG"
"icd9_FAILURE.TO.THRIVE","icd9","FAILURE.TO.THRIVE","FAILURE.TO.THRIVE"
"icd9_FAILURE.TO.THRIVE.LIVER.FAILURE.NG.TUBE.PLACEMENT","icd9","FAILURE.TO.THRIVE.LIVER.FAILURE.NG.TUBE.PLACEMENT","FAILURE.TO.THRIVE.LIVER.FAILURE.NG.TUBE.PLACEMENT"
"icd9_FEER.NAUSEA.VOMITING","icd9","FEER.NAUSEA.VOMITING","FEER.NAUSEA.VOMITING"
"icd9_FEMORAL.THROMBOSIS","icd9","FEMORAL.THROMBOSIS","FEMORAL.THROMBOSIS"
"icd9_FEVER","icd9","FEVER","FEVER"
"icd9_FEVER.OF.UNKNOWN.ORIGIN.DEHYDRATION","icd9","FEVER.OF.UNKNOWN.ORIGIN.DEHYDRATION","FEVER.OF.UNKNOWN.ORIGIN.DEHYDRATION"
"icd9_FEVER.UNKNOWN.ORIGIN","icd9","FEVER.UNKNOWN.ORIGIN","FEVER.UNKNOWN.ORIGIN"
"icd9_FEVER..ABDOMINAL.PAIN","icd9","FEVER..ABDOMINAL.PAIN","FEVER..ABDOMINAL.PAIN"
"icd9_FEVER.DYSPNEA","icd9","FEVER.DYSPNEA","FEVER.DYSPNEA"
"icd9_FEVER.HYPOTENSION","icd9","FEVER.HYPOTENSION","FEVER.HYPOTENSION"
"icd9_FEVER.ORIGIN.UNKNOWN","icd9","FEVER.ORIGIN.UNKNOWN","FEVER.ORIGIN.UNKNOWN"
"icd9_FEVER.CHANGE.IN.MENTAL.STATUS","icd9","FEVER.CHANGE.IN.MENTAL.STATUS","FEVER.CHANGE.IN.MENTAL.STATUS"
"icd9_FEVER.R.O.LINE.INFECTION.RENAL.FAILURE","icd9","FEVER.R.O.LINE.INFECTION.RENAL.FAILURE","FEVER.R.O.LINE.INFECTION.RENAL.FAILURE"
"icd9_FEVER.TELEMETRY","icd9","FEVER.TELEMETRY","FEVER.TELEMETRY"
"icd9_FEVER.VOMITING","icd9","FEVER.VOMITING","FEVER.VOMITING"
"icd9_FLU.SYRINK","icd9","FLU.SYRINK","FLU.SYRINK"
"icd9_FOOT.INFECTION","icd9","FOOT.INFECTION","FOOT.INFECTION"
"icd9_GALLSTONE.PANCREATITIS","icd9","GALLSTONE.PANCREATITIS","GALLSTONE.PANCREATITIS"
"icd9_GANGRENE.RIGHT.SECOND.TOE","icd9","GANGRENE.RIGHT.SECOND.TOE","GANGRENE.RIGHT.SECOND.TOE"
"icd9_GANGRENE..RIGHT.LOWER.EXTREMITY","icd9","GANGRENE..RIGHT.LOWER.EXTREMITY","GANGRENE..RIGHT.LOWER.EXTREMITY"
"icd9_GANGRENE.RIGHT.FOOT","icd9","GANGRENE.RIGHT.FOOT","GANGRENE.RIGHT.FOOT"
"icd9_GASTRO.INTESTINAL.BLEED","icd9","GASTRO.INTESTINAL.BLEED","GASTRO.INTESTINAL.BLEED"
"icd9_GASTROINTESTINAL.BLEED","icd9","GASTROINTESTINAL.BLEED","GASTROINTESTINAL.BLEED"
"icd9_GASTROINTESTINAL.BLEED.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY","icd9","GASTROINTESTINAL.BLEED.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY","GASTROINTESTINAL.BLEED.RULE.OUT.MYOCARDIAL.INFARCTION.TELEMETRY"
"icd9_GASTROINTESTINAL.BLEED.TELMETRY","icd9","GASTROINTESTINAL.BLEED.TELMETRY","GASTROINTESTINAL.BLEED.TELMETRY"
"icd9_GI.BLEED","icd9","GI.BLEED","GI.BLEED"
"icd9_HEPATIC.ENCEPHALOPATHY","icd9","HEPATIC.ENCEPHALOPATHY","HEPATIC.ENCEPHALOPATHY"
"icd9_HEPATIC.ENCEPHALOPATHY.S.P.TRANSPLANT","icd9","HEPATIC.ENCEPHALOPATHY.S.P.TRANSPLANT","HEPATIC.ENCEPHALOPATHY.S.P.TRANSPLANT"
"icd9_HEPATIC.FAILURE","icd9","HEPATIC.FAILURE","HEPATIC.FAILURE"
"icd9_HEPATOCELLUAR.CARCINOMA.SDA","icd9","HEPATOCELLUAR.CARCINOMA.SDA","HEPATOCELLUAR.CARCINOMA.SDA"
"icd9_HIV..RESPIRATORY.FAILURE","icd9","HIV..RESPIRATORY.FAILURE","HIV..RESPIRATORY.FAILURE"
"icd9_HYPERGLYCEMIA","icd9","HYPERGLYCEMIA","HYPERGLYCEMIA"
"icd9_HYPERKALEMIA","icd9","HYPERKALEMIA","HYPERKALEMIA"
"icd9_HYPERKALEMIA.GI.BLEED","icd9","HYPERKALEMIA.GI.BLEED","HYPERKALEMIA.GI.BLEED"
"icd9_HYPERTENSION..TIPS","icd9","HYPERTENSION..TIPS","HYPERTENSION..TIPS"
"icd9_HYPERTENSIVE.URGENCY","icd9","HYPERTENSIVE.URGENCY","HYPERTENSIVE.URGENCY"
"icd9_HYPERTENSIVE.URGENCY.TELEMETRY","icd9","HYPERTENSIVE.URGENCY.TELEMETRY","HYPERTENSIVE.URGENCY.TELEMETRY"
"icd9_HYPERTHERMIA","icd9","HYPERTHERMIA","HYPERTHERMIA"
"icd9_HYPOGLYCEMIA","icd9","HYPOGLYCEMIA","HYPOGLYCEMIA"
"icd9_HYPONATREMIA","icd9","HYPONATREMIA","HYPONATREMIA"
"icd9_HYPONATREMIA.TELEMETRY","icd9","HYPONATREMIA.TELEMETRY","HYPONATREMIA.TELEMETRY"
"icd9_HYPOTENSION","icd9","HYPOTENSION","HYPOTENSION"
"icd9_HYPOTENSION..UNSTABLE.ANGINA","icd9","HYPOTENSION..UNSTABLE.ANGINA","HYPOTENSION..UNSTABLE.ANGINA"
"icd9_HYPOTENSION.ACUTE.RENAL.FAILURE","icd9","HYPOTENSION.ACUTE.RENAL.FAILURE","HYPOTENSION.ACUTE.RENAL.FAILURE"
"icd9_HYPOTENSION.ESLD","icd9","HYPOTENSION.ESLD","HYPOTENSION.ESLD"
"icd9_HYPOTENSION.FAILURE.TO.THRIVE","icd9","HYPOTENSION.FAILURE.TO.THRIVE","HYPOTENSION.FAILURE.TO.THRIVE"
"icd9_HYPOTENSION.INSULIN.DEPENDENT.DIABETES.MELLITUS.ESRD","icd9","HYPOTENSION.INSULIN.DEPENDENT.DIABETES.MELLITUS.ESRD","HYPOTENSION.INSULIN.DEPENDENT.DIABETES.MELLITUS.ESRD"
"icd9_HYPOTENSION.PERICARDIAL.EFFUSION","icd9","HYPOTENSION.PERICARDIAL.EFFUSION","HYPOTENSION.PERICARDIAL.EFFUSION"
"icd9_HYPOTENSION.SHORTNESS.OF.BREATH","icd9","HYPOTENSION.SHORTNESS.OF.BREATH","HYPOTENSION.SHORTNESS.OF.BREATH"
"icd9_HYPOTENSIVE","icd9","HYPOTENSIVE","HYPOTENSIVE"
"icd9_HYPOTENSIVE.SEPSIS","icd9","HYPOTENSIVE.SEPSIS","HYPOTENSIVE.SEPSIS"
"icd9_HYPOXIA","icd9","HYPOXIA","HYPOXIA"
"icd9_HYPOXIA..LEFT.UPPER.QUATDRANT.TUMOR","icd9","HYPOXIA..LEFT.UPPER.QUATDRANT.TUMOR","HYPOXIA..LEFT.UPPER.QUATDRANT.TUMOR"
"icd9_HYPOXIA.ASPIRATION.PNEUMONIA.ATRIAL.FIBRILLATION","icd9","HYPOXIA.ASPIRATION.PNEUMONIA.ATRIAL.FIBRILLATION","HYPOXIA.ASPIRATION.PNEUMONIA.ATRIAL.FIBRILLATION"
"icd9_ICD.FIRING.SOB","icd9","ICD.FIRING.SOB","ICD.FIRING.SOB"
"icd9_ICH.TELEMETRY","icd9","ICH.TELEMETRY","ICH.TELEMETRY"
"icd9_ILIAC...RENAL.ARTERY.STENOSIS.SDA","icd9","ILIAC...RENAL.ARTERY.STENOSIS.SDA","ILIAC...RENAL.ARTERY.STENOSIS.SDA"
"icd9_INCARCERATED.HERNIA","icd9","INCARCERATED.HERNIA","INCARCERATED.HERNIA"
"icd9_INCREASED.LFT.S..S.P.LIVER.TX","icd9","INCREASED.LFT.S..S.P.LIVER.TX","INCREASED.LFT.S..S.P.LIVER.TX"
"icd9_INFECTED.DIALYSIS.CATHETER","icd9","INFECTED.DIALYSIS.CATHETER","INFECTED.DIALYSIS.CATHETER"
"icd9_INFECTED.FEMORAL.CATHETER","icd9","INFECTED.FEMORAL.CATHETER","INFECTED.FEMORAL.CATHETER"
"icd9_INFECTED.FOOT","icd9","INFECTED.FOOT","INFECTED.FOOT"
"icd9_INFECTION.GASTROINTESTINAL.BLEED","icd9","INFECTION.GASTROINTESTINAL.BLEED","INFECTION.GASTROINTESTINAL.BLEED"
"icd9_INTRA.CRANIAL.HEMORRHAGE","icd9","INTRA.CRANIAL.HEMORRHAGE","INTRA.CRANIAL.HEMORRHAGE"
"icd9_INTRACRANIAL.HEMORRHAGE","icd9","INTRACRANIAL.HEMORRHAGE","INTRACRANIAL.HEMORRHAGE"
"icd9_INTRAPARENCHYMAL.BLEED","icd9","INTRAPARENCHYMAL.BLEED","INTRAPARENCHYMAL.BLEED"
"icd9_INTRAPARENCHYMAL.HEMORRHAGE","icd9","INTRAPARENCHYMAL.HEMORRHAGE","INTRAPARENCHYMAL.HEMORRHAGE"
"icd9_ISCHEMIC.BOWEL","icd9","ISCHEMIC.BOWEL","ISCHEMIC.BOWEL"
"icd9_ISCHEMIC.FOOT","icd9","ISCHEMIC.FOOT","ISCHEMIC.FOOT"
"icd9_ISCHEMIC.LEFT.FOOT.DIABETES.MELLITUS","icd9","ISCHEMIC.LEFT.FOOT.DIABETES.MELLITUS","ISCHEMIC.LEFT.FOOT.DIABETES.MELLITUS"
"icd9_ISCHEMIC.RIGHT.FOOT","icd9","ISCHEMIC.RIGHT.FOOT","ISCHEMIC.RIGHT.FOOT"
"icd9_ISCHEMIC.RIGHT.LEG","icd9","ISCHEMIC.RIGHT.LEG","ISCHEMIC.RIGHT.LEG"
"icd9_KIDNEY.FAILURE","icd9","KIDNEY.FAILURE","KIDNEY.FAILURE"
"icd9_KIDNEY.TRANSPLANT","icd9","KIDNEY.TRANSPLANT","KIDNEY.TRANSPLANT"
"icd9_L.FOOT.ULCER","icd9","L.FOOT.ULCER","L.FOOT.ULCER"
"icd9_L.HIP.FRACTURE","icd9","L.HIP.FRACTURE","L.HIP.FRACTURE"
"icd9_LEFT.ACETABULAR.FRACTURE","icd9","LEFT.ACETABULAR.FRACTURE","LEFT.ACETABULAR.FRACTURE"
"icd9_LEFT.BREAST.CA.SDA","icd9","LEFT.BREAST.CA.SDA","LEFT.BREAST.CA.SDA"
"icd9_LEFT.CAROTID.ANEURYSM","icd9","LEFT.CAROTID.ANEURYSM","LEFT.CAROTID.ANEURYSM"
"icd9_LEFT.CAROTID.STENOSIS","icd9","LEFT.CAROTID.STENOSIS","LEFT.CAROTID.STENOSIS"
"icd9_LEFT.CAROTID.STENOSIS.SDA","icd9","LEFT.CAROTID.STENOSIS.SDA","LEFT.CAROTID.STENOSIS.SDA"
"icd9_LEFT.CVA","icd9","LEFT.CVA","LEFT.CVA"
"icd9_LEFT.FEMUR.FRACTURE","icd9","LEFT.FEMUR.FRACTURE","LEFT.FEMUR.FRACTURE"
"icd9_LEFT.INTERAL.CAROTID.ANEURYSM","icd9","LEFT.INTERAL.CAROTID.ANEURYSM","LEFT.INTERAL.CAROTID.ANEURYSM"
"icd9_LEFT.INTERNAL.JUGULAR.VEIN.THROMBOSIS.LEFT.ARM.EDEMA","icd9","LEFT.INTERNAL.JUGULAR.VEIN.THROMBOSIS.LEFT.ARM.EDEMA","LEFT.INTERNAL.JUGULAR.VEIN.THROMBOSIS.LEFT.ARM.EDEMA"
"icd9_LEFT.MCA.ANEURYSM.SDA","icd9","LEFT.MCA.ANEURYSM.SDA","LEFT.MCA.ANEURYSM.SDA"
"icd9_LEFT.RENAL.TUMOR.SDA","icd9","LEFT.RENAL.TUMOR.SDA","LEFT.RENAL.TUMOR.SDA"
"icd9_LEFT.TEMPORAL.HEMATOMA","icd9","LEFT.TEMPORAL.HEMATOMA","LEFT.TEMPORAL.HEMATOMA"
"icd9_LEG.LACERATION.ELEVATAD.INR.HYPOTENSION.RENAL.FAILURE","icd9","LEG.LACERATION.ELEVATAD.INR.HYPOTENSION.RENAL.FAILURE","LEG.LACERATION.ELEVATAD.INR.HYPOTENSION.RENAL.FAILURE"
"icd9_LEG.WEAKNESS","icd9","LEG.WEAKNESS","LEG.WEAKNESS"
"icd9_LERYAGEAL.CA.CAROTID.INJURY","icd9","LERYAGEAL.CA.CAROTID.INJURY","LERYAGEAL.CA.CAROTID.INJURY"
"icd9_LEUKEMIA.VS.LYMPHOMA.ANEMIA","icd9","LEUKEMIA.VS.LYMPHOMA.ANEMIA","LEUKEMIA.VS.LYMPHOMA.ANEMIA"
"icd9_LEUKO.ENCEPHALOPATHY","icd9","LEUKO.ENCEPHALOPATHY","LEUKO.ENCEPHALOPATHY"
"icd9_LIVER.FAILURE","icd9","LIVER.FAILURE","LIVER.FAILURE"
"icd9_LIVER.FAILURE.GASTROINTESTINAL.BLEED","icd9","LIVER.FAILURE.GASTROINTESTINAL.BLEED","LIVER.FAILURE.GASTROINTESTINAL.BLEED"
"icd9_LIVER.FAILURE.HEPATIC.ENCEPHALOPATHY","icd9","LIVER.FAILURE.HEPATIC.ENCEPHALOPATHY","LIVER.FAILURE.HEPATIC.ENCEPHALOPATHY"
"icd9_LIVER.FAILURE.S.P.TIPS","icd9","LIVER.FAILURE.S.P.TIPS","LIVER.FAILURE.S.P.TIPS"
"icd9_LIVER.FAILURE.TRANSPLANT.PRE.OP","icd9","LIVER.FAILURE.TRANSPLANT.PRE.OP","LIVER.FAILURE.TRANSPLANT.PRE.OP"
"icd9_LIVER.MASS.SDA","icd9","LIVER.MASS.SDA","LIVER.MASS.SDA"
"icd9_LIVING.ADULT.LIVER.DONOR.SDA","icd9","LIVING.ADULT.LIVER.DONOR.SDA","LIVING.ADULT.LIVER.DONOR.SDA"
"icd9_LOWER.GASTROINTESTINAL.BLEED","icd9","LOWER.GASTROINTESTINAL.BLEED","LOWER.GASTROINTESTINAL.BLEED"
"icd9_LOWER.GASTROINTESTINAL.BLEED.ANEMIA","icd9","LOWER.GASTROINTESTINAL.BLEED.ANEMIA","LOWER.GASTROINTESTINAL.BLEED.ANEMIA"
"icd9_LOWER.GI.BLEED","icd9","LOWER.GI.BLEED","LOWER.GI.BLEED"
"icd9_LOWER.GIB","icd9","LOWER.GIB","LOWER.GIB"
"icd9_LUMBAR.STENOSIS.SDA","icd9","LUMBAR.STENOSIS.SDA","LUMBAR.STENOSIS.SDA"
"icd9_LUNG.CA..HYPOXEMIA","icd9","LUNG.CA..HYPOXEMIA","LUNG.CA..HYPOXEMIA"
"icd9_LUNG.CA.SDA","icd9","LUNG.CA.SDA","LUNG.CA.SDA"
"icd9_LUNG.CANCER","icd9","LUNG.CANCER","LUNG.CANCER"
"icd9_LUNG.CANCER.METS.BRONCOSCOPY","icd9","LUNG.CANCER.METS.BRONCOSCOPY","LUNG.CANCER.METS.BRONCOSCOPY"
"icd9_LUNG.CANCER.SDA","icd9","LUNG.CANCER.SDA","LUNG.CANCER.SDA"
"icd9_LUPUS.ERYTHMATOSIS","icd9","LUPUS.ERYTHMATOSIS","LUPUS.ERYTHMATOSIS"
"icd9_MALLORY.WEISS.TEAR","icd9","MALLORY.WEISS.TEAR","MALLORY.WEISS.TEAR"
"icd9_MASTOCYTOSIS.GI.BLEED","icd9","MASTOCYTOSIS.GI.BLEED","MASTOCYTOSIS.GI.BLEED"
"icd9_MEDIASTINAL.TUMOR.SDA","icd9","MEDIASTINAL.TUMOR.SDA","MEDIASTINAL.TUMOR.SDA"
"icd9_MELANOMA.INTRACRANIAL.BLEED","icd9","MELANOMA.INTRACRANIAL.BLEED","MELANOMA.INTRACRANIAL.BLEED"
"icd9_MENTAL.STATUS.CHANGE","icd9","MENTAL.STATUS.CHANGE","MENTAL.STATUS.CHANGE"
"icd9_MESENTERIC.ISCHEMIA","icd9","MESENTERIC.ISCHEMIA","MESENTERIC.ISCHEMIA"
"icd9_METABOLIC.ACIDOSIS","icd9","METABOLIC.ACIDOSIS","METABOLIC.ACIDOSIS"
"icd9_METASTATIC..RENAL.CELL.CARCINOMA.CHEMO","icd9","METASTATIC..RENAL.CELL.CARCINOMA.CHEMO","METASTATIC..RENAL.CELL.CARCINOMA.CHEMO"
"icd9_METASTATIC.CA..OF.UNKNOWN.PRIMARY","icd9","METASTATIC.CA..OF.UNKNOWN.PRIMARY","METASTATIC.CA..OF.UNKNOWN.PRIMARY"
"icd9_MI","icd9","MI","MI"
"icd9_MR..CAD.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT.SDA","icd9","MR..CAD.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT.SDA","MR..CAD.CORONARY.ARTERY.BYPASS.GRAFT.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_MR.MITRAL.VALVE.REPLACEMENT","icd9","MR.MITRAL.VALVE.REPLACEMENT","MR.MITRAL.VALVE.REPLACEMENT"
"icd9_MR.MITRAL.VALVE.REPLACEMENT.HEART.PORT.MINIMALLY.INVASIVE..SDA","icd9","MR.MITRAL.VALVE.REPLACEMENT.HEART.PORT.MINIMALLY.INVASIVE..SDA","MR.MITRAL.VALVE.REPLACEMENT.HEART.PORT.MINIMALLY.INVASIVE..SDA"
"icd9_MR.MITRAL.VALVE.REPLACEMENT.SDA","icd9","MR.MITRAL.VALVE.REPLACEMENT.SDA","MR.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_MYELODYSPLATIC.SYNDROME.ACUTE.MYELOGENOUS.LEUKEMIA","icd9","MYELODYSPLATIC.SYNDROME.ACUTE.MYELOGENOUS.LEUKEMIA","MYELODYSPLATIC.SYNDROME.ACUTE.MYELOGENOUS.LEUKEMIA"
"icd9_MYOCARDIAL.INFACTION.CHF.RENAL.INSUFFICIENCY","icd9","MYOCARDIAL.INFACTION.CHF.RENAL.INSUFFICIENCY","MYOCARDIAL.INFACTION.CHF.RENAL.INSUFFICIENCY"
"icd9_MYOCARDIAL.INFARCTION","icd9","MYOCARDIAL.INFARCTION","MYOCARDIAL.INFARCTION"
"icd9_MYOCARDIAL.INFARCTION.CATH","icd9","MYOCARDIAL.INFARCTION.CATH","MYOCARDIAL.INFARCTION.CATH"
"icd9_MYOCARDIAL.INFARCTION.CATH.1","icd9","MYOCARDIAL.INFARCTION.CATH.1","MYOCARDIAL.INFARCTION.CATH.1"
"icd9_NAUSEA.W.VOMITING.HYPERGLYCEMIA","icd9","NAUSEA.W.VOMITING.HYPERGLYCEMIA","NAUSEA.W.VOMITING.HYPERGLYCEMIA"
"icd9_NAUSEA.VOMITING","icd9","NAUSEA.VOMITING","NAUSEA.VOMITING"
"icd9_NAUSEA.VOMITING.1","icd9","NAUSEA.VOMITING.1","NAUSEA.VOMITING.1"
"icd9_NECK.PAIN","icd9","NECK.PAIN","NECK.PAIN"
"icd9_NECK.PAIN.POSSIBLE.INFECTION","icd9","NECK.PAIN.POSSIBLE.INFECTION","NECK.PAIN.POSSIBLE.INFECTION"
"icd9_NECROTIC.TOE.PVD","icd9","NECROTIC.TOE.PVD","NECROTIC.TOE.PVD"
"icd9_NECROTIZING.PANCREATITIS","icd9","NECROTIZING.PANCREATITIS","NECROTIZING.PANCREATITIS"
"icd9_NEUROSAICOIODOSIS","icd9","NEUROSAICOIODOSIS","NEUROSAICOIODOSIS"
"icd9_NEW.ONSET.AFIB..LEG.PAIN.HYPOXIA","icd9","NEW.ONSET.AFIB..LEG.PAIN.HYPOXIA","NEW.ONSET.AFIB..LEG.PAIN.HYPOXIA"
"icd9_NON.HEALING.ULCERS","icd9","NON.HEALING.ULCERS","NON.HEALING.ULCERS"
"icd9_NON.Q.MI.CATH","icd9","NON.Q.MI.CATH","NON.Q.MI.CATH"
"icd9_NON.ST.SEGMENT.ELEVATION.MYOCARDIAL.INFARCTION.CATH","icd9","NON.ST.SEGMENT.ELEVATION.MYOCARDIAL.INFARCTION.CATH","NON.ST.SEGMENT.ELEVATION.MYOCARDIAL.INFARCTION.CATH"
"icd9_NSTEMI.HYPOTENSION","icd9","NSTEMI.HYPOTENSION","NSTEMI.HYPOTENSION"
"icd9_OCCLUDED.FEMORAL.GRAFT","icd9","OCCLUDED.FEMORAL.GRAFT","OCCLUDED.FEMORAL.GRAFT"
"icd9_OPIATE.OVERDOSE","icd9","OPIATE.OVERDOSE","OPIATE.OVERDOSE"
"icd9_ORGANOPHOSPHATE.OVERDOSE","icd9","ORGANOPHOSPHATE.OVERDOSE","ORGANOPHOSPHATE.OVERDOSE"
"icd9_OVARIAN.CA..ASCITES","icd9","OVARIAN.CA..ASCITES","OVARIAN.CA..ASCITES"
"icd9_OVERMEDICATED","icd9","OVERMEDICATED","OVERMEDICATED"
"icd9_PANCREAS.FAILURE","icd9","PANCREAS.FAILURE","PANCREAS.FAILURE"
"icd9_PANCREATIC.MASS","icd9","PANCREATIC.MASS","PANCREATIC.MASS"
"icd9_PANCREATITIS","icd9","PANCREATITIS","PANCREATITIS"
"icd9_PARTIAL.SBO","icd9","PARTIAL.SBO","PARTIAL.SBO"
"icd9_PELVIC.FRACTURE","icd9","PELVIC.FRACTURE","PELVIC.FRACTURE"
"icd9_PERICARDIAL.EFFUSION.PERICARDIAL.TAP","icd9","PERICARDIAL.EFFUSION.PERICARDIAL.TAP","PERICARDIAL.EFFUSION.PERICARDIAL.TAP"
"icd9_PERICARDIAL.TAMPONADE","icd9","PERICARDIAL.TAMPONADE","PERICARDIAL.TAMPONADE"
